SK_ID_CURR,TARGET
100001,0
100005,0
100013,1
100028,1
100038,0
100042,0
100057,0
100065,0
100066,0
100067,0
100074,0
100090,0
100091,0
100092,1
100106,1
100107,1
100109,0
100117,0
100128,1
100141,0
100150,1
100168,0
100169,1
100170,1
100171,0
100172,0
100184,1
100187,0
100212,0
100222,0
100223,1
100232,0
100241,0
100245,0
100253,0
100256,1
100271,0
100278,0
100280,0
100306,1
100311,0
100312,1
100330,1
100331,0
100352,1
100358,0
100367,1
100382,1
100384,1
100385,0
100386,1
100399,0
100404,0
100416,0
100422,1
100426,0
100438,0
100444,0
100445,1
100446,0
100447,0
100450,1
100466,1
100483,0
100484,1
100494,0
100510,0
100512,0
100517,0
100548,1
100551,1
100552,1
100553,0
100561,1
100568,0
100569,1
100591,1
100592,0
100602,0
100607,1
100613,1
100617,1
100618,0
100622,0
100625,1
100677,0
100699,1
100702,1
100711,0
100729,1
100740,0
100744,0
100745,1
100747,0
100751,0
100752,1
100753,1
100754,1
100760,1
100762,0
100763,0
100765,0
100770,0
100772,1
100777,0
100791,0
100792,0
100797,1
100823,1
100826,0
100830,1
100836,0
100872,0
100910,0
100913,0
100918,0
100931,0
100952,0
100953,0
100965,0
100970,0
100982,0
100983,1
100984,1
100987,1
100997,1
100998,0
101002,0
101005,0
101008,0
101020,1
101021,1
101024,0
101025,0
101026,1
101031,0
101041,0
101051,1
101055,0
101056,0
101057,0
101064,0
101079,0
101087,1
101090,1
101092,0
101097,1
101099,0
101107,0
101118,0
101125,0
101126,0
101128,0
101136,1
101140,0
101149,0
101160,0
101169,1
101181,0
101186,0
101190,1
101193,0
101194,0
101198,1
101200,1
101204,0
101211,0
101213,0
101223,0
101225,1
101237,1
101243,1
101244,0
101258,0
101259,1
101268,1
101269,1
101271,1
101279,0
101281,1
101287,0
101292,0
101294,0
101296,0
101297,0
101299,0
101301,0
101305,0
101308,0
101318,1
101327,1
101329,0
101332,0
101337,0
101343,1
101345,0
101346,0
101353,0
101354,0
101355,0
101356,0
101362,0
101363,0
101365,0
101366,0
101367,0
101368,0
101374,1
101380,0
101383,1
101398,1
101399,1
101401,0
101412,1
101426,0
101427,1
101428,0
101429,0
101434,0
101440,1
101448,1
101449,1
101465,1
101467,0
101472,1
101478,1
101497,0
101504,0
101547,0
101548,0
101555,0
101570,0
101572,1
101578,0
101580,1
101588,0
101602,1
101610,0
101614,0
101616,1
101643,1
101644,1
101649,1
101650,0
101665,0
101667,0
101669,0
101674,0
101675,0
101678,1
101682,0
101686,1
101697,0
101700,1
101711,0
101714,1
101715,1
101728,0
101732,0
101757,1
101758,0
101759,1
101762,0
101764,1
101780,1
101784,0
101789,0
101816,1
101819,0
101827,0
101863,1
101867,0
101870,0
101873,0
101878,0
101879,0
101880,1
101887,0
101897,0
101901,0
101903,1
101920,0
101921,0
101922,1
101961,1
101962,0
101971,0
101976,1
102002,1
102005,0
102007,1
102017,1
102019,0
102029,1
102051,0
102052,0
102054,1
102062,1
102067,1
102068,1
102070,0
102090,0
102092,0
102099,0
102100,0
102112,0
102113,0
102122,0
102123,0
102125,0
102126,1
102146,0
102147,0
102151,1
102158,0
102159,1
102162,0
102165,0
102166,0
102174,1
102193,1
102198,0
102205,0
102206,0
102218,0
102221,0
102230,1
102238,0
102248,0
102252,1
102259,0
102262,0
102273,1
102286,0
102293,0
102294,0
102296,1
102298,1
102303,1
102309,1
102315,1
102340,1
102342,0
102344,1
102346,0
102347,0
102374,0
102380,1
102387,0
102393,0
102403,1
102413,0
102414,1
102415,0
102416,1
102439,0
102441,0
102443,0
102444,1
102445,1
102448,0
102449,0
102450,0
102456,0
102458,0
102459,1
102465,0
102470,1
102471,0
102475,0
102476,1
102506,0
102509,1
102519,0
102522,0
102545,0
102549,0
102562,1
102563,0
102568,1
102582,1
102592,0
102597,1
102605,0
102614,0
102617,1
102634,1
102652,1
102655,0
102671,0
102694,0
102701,0
102703,0
102704,1
102713,0
102720,0
102731,0
102733,1
102749,1
102755,1
102763,0
102770,0
102772,1
102799,0
102838,0
102854,1
102862,1
102863,0
102867,0
102868,0
102878,0
102887,0
102898,1
102904,0
102912,1
102919,1
102927,0
102932,0
102933,0
102935,0
102958,0
102969,1
102971,0
102975,1
102979,0
102982,0
102987,1
102989,1
102995,0
102996,0
103000,0
103001,1
103004,1
103010,0
103025,0
103029,0
103046,0
103056,1
103062,0
103078,1
103083,1
103092,0
103096,0
103097,0
103102,0
103112,0
103132,1
103144,1
103145,0
103146,1
103147,0
103158,1
103171,1
103173,0
103184,0
103195,1
103196,1
103206,0
103230,1
103231,1
103232,0
103239,0
103240,0
103243,0
103252,0
103258,1
103259,0
103279,0
103280,0
103286,0
103287,0
103290,1
103298,0
103315,0
103319,1
103334,0
103336,1
103345,1
103368,1
103371,1
103377,0
103398,0
103404,1
103408,1
103410,0
103418,0
103420,0
103432,0
103433,0
103436,0
103440,1
103453,0
103459,0
103460,0
103461,0
103462,0
103473,1
103474,0
103475,0
103478,1
103480,0
103484,0
103494,1
103513,1
103515,1
103516,1
103525,0
103541,0
103544,0
103562,1
103570,1
103572,1
103574,1
103575,1
103591,1
103594,0
103609,0
103613,1
103614,1
103615,1
103624,1
103625,0
103628,0
103629,1
103647,1
103648,1
