SK_ID_CURR,TARGET
100001,0
100005,1
100013,0
100028,1
100038,1
100042,0
100057,0
100065,0
100066,0
100067,1
100074,0
100090,0
100091,1
100092,0
100106,1
100107,1
100109,0
100117,0
100128,1
100141,0
100150,1
100168,0
100169,1
100170,1
100171,0
100172,1
100184,1
100187,0
100212,0
100222,0
100223,1
100232,0
100241,0
100245,0
100253,0
100256,0
100271,0
100278,1
100280,0
100306,0
100311,1
100312,0
100330,0
100331,0
100352,0
100358,0
100367,0
100382,0
100384,1
100385,0
100386,1
100399,0
100404,0
100416,0
100422,0
100426,0
100438,0
100444,1
100445,1
100446,0
100447,1
100450,1
100466,0
100483,1
100484,0
100494,0
100510,0
100512,0
100517,0
100548,0
100551,0
100552,1
100553,0
100561,1
100568,1
100569,1
100591,1
100592,0
100602,0
100607,1
100613,1
100617,0
100618,0
100622,0
100625,1
100677,0
100699,0
100702,1
100711,0
100729,0
100740,1
100744,1
100745,1
100747,0
100751,0
100752,1
100753,1
100754,1
100760,1
100762,0
100763,0
100765,0
100770,0
100772,1
100777,0
100791,0
100792,0
100797,1
100823,1
100826,0
100830,1
100836,0
100872,0
100910,0
100913,0
100918,0
100931,0
100952,0
100953,0
100965,0
100970,0
100982,0
100983,1
100984,1
100987,1
100997,1
100998,0
101002,0
101005,0
101008,1
101020,0
101021,0
101024,0
101025,0
101026,0
101031,0
101041,0
101051,0
101055,0
101056,1
101057,0
101064,0
101079,0
101087,0
101090,0
101092,0
101097,1
101099,0
101107,0
101118,0
101125,1
101126,0
101128,0
101136,1
101140,0
101149,0
101160,1
101169,0
101181,0
101186,0
101190,0
101193,1
101194,0
101198,1
101200,1
101204,0
101211,0
101213,0
101223,0
101225,1
101237,0
101243,1
101244,0
101258,0
101259,1
101268,1
101269,1
101271,0
101279,1
101281,1
101287,0
101292,1
101294,0
101296,1
101297,0
101299,0
101301,0
101305,0
101308,1
101318,0
101327,0
101329,0
101332,1
101337,0
101343,1
101345,1
101346,0
101353,0
101354,0
101355,0
101356,0
101362,1
101363,1
101365,0
101366,1
101367,1
101368,0
101374,1
101380,0
101383,1
101398,1
101399,1
101401,1
101412,0
101426,1
101427,1
101428,0
101429,1
101434,0
101440,1
101448,1
101449,0
101465,1
101467,0
101472,0
101478,1
101497,0
101504,0
101547,1
101548,0
101555,0
101570,0
101572,1
101578,1
101580,0
101588,0
101602,0
101610,0
101614,1
101616,0
101643,1
101644,0
101649,0
101650,1
101665,1
101667,1
101669,1
101674,1
101675,0
101678,1
101682,0
101686,1
101697,1
101700,1
101711,1
101714,1
101715,1
101728,0
101732,0
101757,1
101758,0
101759,0
101762,0
101764,0
101780,1
101784,0
101789,0
101816,1
101819,0
101827,0
101863,0
101867,0
101870,0
101873,1
101878,0
101879,1
101880,1
101887,0
101897,0
101901,0
101903,1
101920,0
101921,0
101922,0
101961,0
101962,0
101971,1
101976,1
102002,1
102005,0
102007,0
102017,1
102019,0
102029,0
102051,1
102052,0
102054,1
102062,0
102067,1
102068,1
102070,0
102090,0
102092,0
102099,0
102100,0
102112,1
102113,0
102122,0
102123,1
102125,0
102126,1
102146,0
102147,0
102151,1
102158,0
102159,0
102162,0
102165,0
102166,0
102174,0
102193,1
102198,0
102205,1
102206,0
102218,0
102221,0
102230,0
102238,0
102248,1
102252,0
102259,1
102262,1
102273,0
102286,0
102293,0
102294,1
102296,1
102298,1
102303,0
102309,0
102315,1
102340,1
102342,0
102344,1
102346,0
102347,0
102374,0
102380,0
102387,0
102393,1
102403,1
102413,0
102414,1
102415,0
102416,1
102439,0
102441,1
102443,0
102444,1
102445,1
102448,0
102449,0
102450,0
102456,0
102458,0
102459,1
102465,0
102470,1
102471,0
102475,0
102476,1
102506,0
102509,1
102519,0
102522,0
102545,1
102549,1
102562,0
102563,0
102568,1
102582,1
102592,0
102597,0
102605,1
102614,0
102617,1
102634,0
102652,1
102655,0
102671,1
102694,1
102701,0
102703,0
102704,0
102713,0
102720,0
102731,0
102733,1
102749,0
102755,1
102763,0
102770,0
102772,1
102799,1
102838,0
102854,0
102862,1
102863,0
102867,0
102868,0
102878,1
102887,0
102898,1
102904,0
102912,0
102919,0
102927,0
102932,0
102933,0
102935,0
102958,0
102969,1
102971,0
102975,1
102979,0
102982,0
102987,1
102989,0
102995,1
102996,1
103000,1
103001,0
103004,0
103010,1
103025,1
103029,0
103046,0
103056,1
103062,0
103078,0
103083,1
103092,0
103096,0
103097,0
103102,1
103112,0
103132,0
103144,0
103145,1
103146,0
103147,0
103158,1
103171,0
103173,0
103184,0
103195,0
103196,1
103206,0
103230,0
103231,1
103232,0
103239,0
103240,1
103243,0
103252,0
103258,1
103259,0
103279,1
103280,0
103286,0
103287,1
103290,0
103298,0
103315,0
103319,1
103334,1
103336,0
103345,0
103368,1
103371,1
103377,0
103398,0
103404,1
103408,1
103410,0
103418,0
103420,0
103432,0
103433,0
103436,0
103440,0
103453,0
103459,0
103460,1
103461,0
103462,0
103473,1
103474,0
103475,0
103478,0
103480,1
103484,0
103494,1
103513,1
103515,1
103516,1
103525,0
103541,1
103544,0
103562,1
103570,1
103572,0
103574,1
103575,1
103591,1
103594,0
103609,0
103613,1
103614,0
103615,0
103624,1
103625,0
103628,0
103629,0
103647,1
103648,1
103651,0
103658,1
103668,1
103669,0
103676,1
103682,0
103683,0
103689,1
103725,0
103733,1
103744,0
103762,0
103771,1
103773,0
103783,1
103784,1
103808,0
103812,1
103813,1
103814,1
103818,0
103824,1
103828,0
103830,0
103840,0
103842,0
103847,1
103848,1
103851,0
103854,0
103857,0
103861,0
103862,0
103865,0
103870,0
103876,0
103891,0
103908,1
103914,1
103918,1
103940,0
103963,0
103966,0
103971,1
103980,1
103984,0
103985,0
103998,1
104019,0
104026,0
104035,0
104044,1
104045,1
104047,1
104051,1
104058,0
104063,0
104066,1
104087,1
104089,0
104095,0
104098,0
104104,0
104110,1
104120,0
104122,1
104131,0
104132,0
104135,0
104136,1
104149,0
104150,1
104156,0
104165,0
104175,0
104179,1
104184,1
104206,0
104216,1
104230,0
104257,0
104272,0
104273,0
104278,1
104294,0
104295,0
104297,1
104298,1
104308,1
104318,0
104319,1
104320,0
104327,1
104334,1
104344,0
104350,0
104351,0
104354,0
104369,1
104376,1
104381,0
104384,0
104391,0
104394,0
104398,1
104402,0
104408,0
104409,0
104410,1
104412,0
104417,0
104424,0
104426,0
104435,0
104445,1
104458,1
104460,1
104466,1
104472,1
104473,0
104479,0
104480,0
104482,0
104499,0
104501,1
104502,0
104506,0
104510,0
104512,1
104520,0
104528,0
104529,0
104541,1
104578,0
104584,1
104588,1
104602,1
104610,0
104611,1
104618,0
104620,0
104622,0
104624,0
104625,0
104634,1
104639,0
104646,0
104647,1
104652,0
104670,0
104677,0
104685,0
104691,0
104696,1
104699,1
104712,0
104714,0
104717,0
104718,0
104740,1
104741,0
104743,0
104744,0
104747,0
104767,0
104772,0
104776,0
104779,1
104814,0
104815,1
104830,0
104831,1
104833,0
104839,0
104840,0
104860,1
104861,0
104866,0
104870,0
104877,1
104878,0
104879,0
104880,1
104899,0
104906,0
104907,0
104913,1
104916,1
104921,0
104930,1
104931,1
104936,0
104937,0
104942,0
104943,1
104969,0
104972,0
104988,0
105013,0
105015,1
105019,0
105027,0
105030,0
105035,0
105041,0
105051,1
105056,1
105067,0
105071,0
105072,0
105074,0
105091,0
105101,1
105103,0
105134,0
105139,0
105142,0
105146,0
105163,1
105168,1
105172,0
105176,1
105195,1
105196,0
105197,0
105203,0
105223,1
105227,1
105228,0
105230,0
105231,1
105239,0
105242,1
105244,1
105245,0
105248,0
105249,0
105266,1
105271,1
105276,0
105282,0
105292,1
105297,0
105332,0
105333,0
105343,0
105344,0
105345,0
105357,0
105359,0
105366,0
105367,0
105370,0
105377,1
105390,0
105399,0
105403,1
105404,1
105414,0
105417,1
105425,0
105452,1
105454,1
105456,0
105470,0
105471,0
105483,1
105493,0
105508,0
105514,1
105515,1
105528,0
105529,0
105531,0
105532,0
105558,0
105574,0
105578,0
105584,1
105595,0
105617,0
105618,1
105621,0
105625,1
105629,0
105630,0
105634,0
105635,0
105641,1
105647,0
105648,0
105655,1
105657,0
105672,1
105678,0
105682,0
105691,0
105692,1
105706,0
105712,0
105720,0
105734,0
105735,0
105736,1
105737,0
105738,1
105740,1
105744,1
105747,0
105749,1
105754,0
105758,0
105760,0
105767,1
105784,0
105791,0
105802,0
105807,0
105809,1
105816,0
105817,1
105824,0
